debut;fin;pays_origine;ville_origine;pays;ville;lieu;mode_deplacement;acronyme;libelle;faculte
2010-01-05;2010-01-05;;;France;Lille;Université de Lille 3/ Laboratoire GERiiCO;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-02-16;2011-02-18;;;France;Paris;Agence Nationale de la Recherche;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2011-01-12;2011-01-14;;;France;Paris;Paris V - Descartes;NULL;L&L;Département de Langues et Lettres;LTC
2010-01-14;2010-01-14;;;France;Lille;Musée des Beaux-Arts de Lille - Siège du symposium Dessiner/Tracer (Musenor);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-01-12;2010-01-16;;;France;Montpellier;Université de Montpellier III - Paul Valéry;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2011-01-13;2011-01-15;;;France;Paris;Paris 1 Panthéon-Sorbonne;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2011-02-10;2011-02-12;;;France;Paris;Paris IV-Sorbonne;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2011-01-22;2011-02-06;;;RDC, Rwanda, Burundi;Kigali, Bukavu, Bujumbura;Institut Panos Paris;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-01-29;2010-02-26;;;Egypte;Louqsor;CFEETK;NULL;L&L;Département de Langues et Lettres;LTC
2010-10-13;2010-10-16;;;Allemagne;Hambourg;Université d'Hambourg;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-01-17;2011-01-19;;;Espagne;Madrid;Universidad Pontifica Comillas;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2011-02-03;2011-02-03;;;France;Paris;Collège de France;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2011-01-22;2011-02-03;;;AFRIQUE DU SUD;JOHANNESBURG & CAPE TOWN;--UNIVERSITY OF THE WITWATERSRAND (JOHANNESBURG)--UNIVERSITY OF CAPE TOWN & NATIONAL LIBRARY (CAPE TOWN);NULL;L&L;Département de Langues et Lettres;LTC
2011-01-20;2011-01-20;;;France;Lille;Lille 3/ laboratoire GERiiCO;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-04-11;2011-04-29;;;Chine;Shanghai;Université FUDAN;NULL;L&L;Département de Langues et Lettres;LTC
2010-12-16;2010-12-17;;;Royaume Uni;Londres;British Museum;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-02-06;2011-02-12;;;France;Tours;Université François Rabelais - CNRS Centre d'Études Supérieures de la Renaissance;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-01-27;2011-01-27;;;France;Lille;Lille3/ laboratoire GERiiCO;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-05-22;2011-06-14;;;Syrie;Apamée;Centre belge de recherches archéologiques à Apamée de Syrie;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-04-01;2010-06-30;;;Suisse;Bâle;Universität Basel;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-02-02;2011-02-25;;;USA;Stanford;Hoower Institution, Univ. of Stanford, USA;NULL;L&L;Département de Langues et Lettres;LTC
2011-02-11;2011-02-13;;;France;Paris;BNF;NULL;L&L;Département de Langues et Lettres;LTC
2011-02-07;2011-02-08;;;Allemagne;Bonn;"Programme franco-germano-belge ""Séjours professionnels en musées"" / Haus der Geschichte de Bonn";NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-02-15;2011-02-15;;;France;Roubaix;Association des conservateurs des musées du Nord-Pas de Calais;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-02-01;2011-02-01;;;France;Paris;CNRS, Institut des sciences de la communication;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2011-02-04;2011-02-04;;;BELGIQUE;Liège;Université de Liège/Opéra royal de Wallonie;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-05-07;2011-05-13;;;Italie;Prato;"FONDAZIONE ISTITUTO INTERNAZIONALE DI STORIA ECONOMICA ""F. DATINI""LE SETTIMANE DI STUDI";NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-02-02;2011-02-02;;;France;Lille;Lille 3/ Laboratoire GERiiCO;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-02-16;2011-02-21;;;Autriche;Vienne;Oesterreichische Nationalbibliothek;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-02-04;2011-02-04;;;France;Lille;Ecole Supérieure de Journalisme de Lille (ESJ);NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2011-02-10;2011-03-03;;;Bénin;;Université d'Abomey Calavi et Musée de Parakou;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-02-09;2011-02-09;;;France;Paris;ANR - Agence Nationale de la Recherche;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-02-10;2010-02-10;;;France;Lille;Université Lille 3;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2011-03-02;2011-03-03;;;France;Paris;Collège de France;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2011-03-10;2011-03-10;;;France;Paris;Collège de France;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2011-03-17;2011-03-17;;;France;Paris;Collège de France;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2011-03-24;2011-03-24;;;France;Paris;Collège de France;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2011-02-24;2011-02-26;;;Angleterre;Oxford;UNiversité d'Oxford;NULL;L&L;Département de Langues et Lettres;LTC
2011-02-23;2011-02-26;;;France;Metz;Université Paul Verlaine;NULL;L&L;Département de Langues et Lettres;LTC
2011-02-18;2011-02-18;;;France;Paris;Université Paris-Est Créteil Val de MarneCentre d'étude des discours, images, textes, écrits, communications (EA 3119);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-02-17;2011-02-17;;;France;Lille;Lille 3;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-02-24;2011-02-26;;;France;Metz;Université Paul Verlaine Metz;NULL;L&L;Département de Langues et Lettres;LTC
2011-05-11;2011-05-16;;;Canada;Montreal;Université de Montreal- CRILQ;NULL;L&L;Département de Langues et Lettres;LTC
2010-03-31;2010-04-04;;;Espagne;Madrid;Complutense University of Madrid;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-03-09;2010-03-09;;;France;Roubaix;Association des conservateurs des musées du Nord-Pas de Calais;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-03-02;2011-03-03;;;France;Reims;Musée archéologique - INRAP;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-03-06;2011-03-08;;;Italie;Bologne;Université de Bologne;NULL;L&L;Département de Langues et Lettres;LTC
2010-05-25;2010-05-30;;;Italiea;Padoue;Centro di Ateneo per i Musei de l’Università degli Studi di Padova;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-09-16;2011-09-26;;;Portugal;Lisbonne;Museu de Ciência da Universidade de Lisboa;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-03-09;2011-03-09;;;France;Roubaix;Association des conservateurs des musées du Nord-Pas de Calais;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-03-31;2011-04-04;;;Espagne;Madrid;Complutense University of Madrid;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-03-03;2011-03-05;;;FRANCE;Paris et Vincennes;"Archives de l'Armée française, archives du Génie (Vincennes); Bibliothèque Nationale, Départements des Manuscrits";NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-05-16;2010-05-20;;;Espagne;Alcalá de Henares;Universidad de Alcalá de Henares;NULL;L&L;Département de Langues et Lettres;LTC
2010-06-14;2010-06-18;;;Royaume Uni;Cambridge;Cambridge;NULL;L&L;Département de Langues et Lettres;LTC
2011-04-01;2011-04-22;;;Etats-Unis;New York;City University of New York;NULL;L&L;Département de Langues et Lettres;LTC
2010-03-06;2010-03-09;;;france;paris;universqité paris 8;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-03-09;2010-03-12;;;France;Nice;université de Nice Sophia-Antipolis;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-03-17;2011-03-19;;;Pays-Bas;Amsterdam;Universiteit van Amsterdam;NULL;L&L;Département de Langues et Lettres;LTC
2011-03-17;2011-03-20;;;Italie;Rome;Ecole française de Rome;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2011-03-20;2011-03-30;;;République démocratique du Congo;Kinshasa, Lubumbashi;Internews (bureau de Kinshasa);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-04-04;2011-04-07;;;France;Bordeaux;Université de Bordeaux IIICEMIC;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-03-16;2011-03-17;;;Royaume-Uni;Cambridge;European Bioinformatics Institute (http://www.ebi.ac.uk);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-05-03;2010-05-06;;;Autriche;Vienne;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-07-03;2011-07-05;;;Espagne;Pamplona;School of communication, University of Navarra;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-09-21;2011-09-24;;;Royaume-Uni;Oxford;Oxford Internet Institute;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-09-07;2011-09-09;;;Royaume-Uni;Cardiff;Cardiff University;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-01-01;2010-01-01;;;France;Lille;Lille 3;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-03-22;2011-04-04;;;Etats-Unis;Los Angeles;UCLA et le Fowler Museum;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-04-06;2011-04-06;;;France;Paris;Institut des Systèmes Complexes Paris Île-de-France57-59 rue LhomondParis 5e;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-03-19;2011-01-25;;;Canada;Winnipeg;Université de Manitoba;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-03-28;2011-03-30;;;France;Paris;BNF-recherches;NULL;L&L;Département de Langues et Lettres;LTC
2011-03-17;2011-03-18;;;France;Caen;Université de Caen, Basse Normandie;NULL;L&L;Département de Langues et Lettres;LTC
2011-04-08;2011-04-10;;;France;Paris;Université Paris Sorbonne Paris IV;NULL;L&L;Département de Langues et Lettres;LTC
2011-03-18;2011-03-21;;;Italie;Cagliari;Université de Cagliari;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-03-30;2010-04-14;;;Pérou;Lima et autres;na;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-04-06;2011-04-26;;;POLOGNE;POZNAN;Université d'ADAM MICKIEWICZ;NULL;L&L;Département de Langues et Lettres;LTC
2011-03-17;2011-03-17;;;France;Lille;Lille 3/ GERiiCO;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-03-21;2011-03-21;;;Belgique;Liège;Université de Liège/Société liégeoise de Musicologie;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-03-23;2011-03-29;;;Japon;Kyoto;1) Kyoto University2) Nanzan University;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-04-04;2011-04-11;;;USA;New York;New York University;NULL;L&L;Département de Langues et Lettres;LTC
2010-03-24;2010-04-22;;;Syrie;Deir ez Zor;mission franco-syrienne de Doura-europos;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-03-24;2011-03-27;;;France;Paris;FIDH et Hôtel de Ville de Paris;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2011-06-27;2011-06-28;;;France;Lille;Université Charles de Gaulle de Lille 3;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-03-24;2011-04-01;;;Allemagne;Berlin;Iberoamerikanisches Institut;NULL;L&L;Département de Langues et Lettres;LTC
2011-03-30;2011-04-03;;;Italie;Florence;Villa Finaly ( Sorbonne Nouvelle);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-03-15;2010-03-15;;;france;paris;Unesco;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-03-31;2011-04-01;;;France;Paris;université de PARIS 3;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-03-28;2011-04-07;;;Canada;Vancouver;ACLA (American Comparative Literature Association): colloque international annuel. L'université d'accueil est la Simon Fraser University, à Vancouver.;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-03-30;2011-03-30;;;BELGIQUE;Liège;Université de Liège, Société liégeoise de Musicologie;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-03-30;2011-03-30;;;BELGIQUE;Liège;Université de Liège, Société liégeoise de Musicologie;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-04-05;2011-04-05;;;France;Lille;Université Lille 3, Charles de Gaulle, Département de littérature française;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-03-30;2011-04-05;;;CANADA;VANCOUVER;SIMON FRASER UNIVERSITY;NULL;L&L;Département de Langues et Lettres;LTC
2011-04-06;2011-04-09;;;France;Vienne;Musée de Saint-Romain en Gal;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-04-06;2011-04-10;;;Croatie;Zagreb;University of Zagreb;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2011-04-12;2011-04-14;;;Turquie;Eskisehir;Université Anadolu;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2011-04-14;2011-06-05;;;USA;Berkeley, Irvine;-Berkeley University-University of California, at Irvine;NULL;L&L;Département de Langues et Lettres;LTC
2011-04-05;2011-05-05;;;France;Paris;BHVP;NULL;L&L;Département de Langues et Lettres;LTC
2011-05-23;2011-05-28;;;Grèce;Kalamaki;Open University (plus d'information sur http://summerschool.eswc2011.org/);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-07-04;2011-07-08;;;Irlande;Dublin;Trinity College;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-05-18;2011-05-19;;;Paris;France;;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-06-09;2011-06-10;;;France;Paris;Université Paris 8;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-06-23;2011-06-23;;;France;Paris;Université Paris 8;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-04-29;2011-05-28;;;Syrie;;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-04-29;2011-05-28;;;Syrie;Damas, Apamée;Direction générale des antiquités et musées de Damas.;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-05-05;2010-06-03;;;Syrie;Damas - Apamée;Direction générale des antiquités de Syrie / Mission archéologique belge d'Apamée de Syrie;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-05-07;2011-05-16;;;Espagne;Puente Viesgo;-;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-04-14;2011-04-14;;;France;Lille;Lille 3;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-04-26;2011-04-27;;;France;Reims;Université de Reims et INRAP;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-05-07;2011-05-23;;;Rwanda, RDC, Burundi;Kigali, Butare, Goma, Bukavu, Bujumbura;Institut Panos Paris (bureaux de Kigali, Bukavu et Bujumbura);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-05-26;2011-05-28;;;France;Bordeaux;Université de Bordeaux IIIMichel de Montaigne;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-05-12;2011-05-13;;;France;Lille;ESJ;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-06-25;2011-07-30;;;Grèce;Palaikastro;Mission archéologique du CReA-Patrimoine de l'ULB à Itanos (Crète orientale);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-05-06;2011-05-15;;;Danemark;Odense;Syddansk Universitet;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-06-03;2011-06-13;;;Turquie;Ankara;Bilkent University;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-07-06;2011-07-11;;;USA;Chicago;Northwestern University, Kellogg School of Management;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-05-31;2011-06-03;;;Irlande;Cork;University College Cork;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-05-04;2011-05-04;;;France;Paris;PARIS 8;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-05-08;2011-05-14;;;CANADA;Montréal;Université de MontréalFaculté de Musique;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
